bench,alloc_type,total,bit_pos,p_one,entropy
cactus,64bits,312498020,61,0.6161542623534063,0.9607129229631977
cactus,64bits,312498020,62,0.05535645313848708,0.30872905980860793
cactus,64bits,312498020,63,0.29695601591331683,0.8775380661761409
cam4,32bits,115718790,0,0.4588273779910765,0.9951031877977776
cam4,32bits,115718790,1,0.466280048382808,0.9967167186418847
cam4,32bits,115718790,2,0.488894085394429,0.9996440828535552
cam4,32bits,115718790,3,0.47196830350542035,0.9977315404921363
cam4,32bits,115718790,4,0.4718332951804975,0.9977096252194209
cam4,32bits,115718790,5,0.47187043694459646,0.9977156647904994
cam4,32bits,115718790,6,0.47219277871813214,0.997767744938598
cam4,32bits,115718790,7,0.4712606224105869,0.997615492792566
cam4,32bits,115718790,8,0.4724945793159434,0.9978159610898562
cam4,32bits,115718790,9,0.47119598295142906,0.9976047485014163
cam4,32bits,115718790,10,0.4696809999482366,0.9973460010887516
cam4,32bits,115718790,11,0.4686011407481879,0.9971534548557632
cam4,32bits,115718790,12,0.46246293277003675,0.99593056704707
cam4,32bits,115718790,13,0.4651440617379425,0.9964915895753876
cam4,32bits,115718790,14,0.4351386408378449,0.9878268991441768
cam4,32bits,115718790,15,0.4358738196277372,0.988102050370701
cam4,32bits,115718790,16,0.4349436076889501,0.9877533728025394
cam4,32bits,115718790,17,0.43341294011110904,0.9871685654198454
cam4,32bits,115718790,18,0.43386163992900373,0.9873414214077879
cam4,32bits,115718790,19,0.42243087747460895,0.9825683771562537
cam4,32bits,115718790,20,0.4272509849091924,0.9846749653796343
cam4,32bits,115718790,21,0.4279715334043849,0.9849780969100199
cam4,32bits,115718790,22,0.424917638699817,0.9836723249095132
cam4,32bits,115718790,23,0.4238139631428915,0.9831868797315308
cam4,32bits,115718790,24,0.4273325274140872,0.9847094235207094
cam4,32bits,115718790,25,0.425769445048639,0.9840420695983192
cam4,32bits,115718790,26,0.42702670845417584,0.984579988695589
cam4,32bits,115718790,27,0.42375339389566724,0.9831600304441306
cam4,32bits,115718790,28,0.427449837662492,0.9847589275943331
cam4,32bits,115718790,29,0.4246222588397269,0.9835431088165801
cam4,32bits,115718790,30,0.42017647263681207,0.9815359796963543
cam4,32bits,115718790,31,0.4293845450682642,0.9855636627349265
cam4,32bits,115718790,32,0.4288637480568195,0.9853492079015636
cam4,32bits,115718790,33,0.4258193764383468,0.984063610517222
cam4,32bits,115718790,34,0.424081473717449,0.983305203244311
cam4,32bits,115718790,35,0.4250197828719087,0.9837168887608934
cam4,32bits,115718790,36,0.4220765097872178,0.9824080873993776
cam4,32bits,115718790,37,0.4230373995441881,0.98284099993658
cam4,32bits,115718790,38,0.4261029172531099,0.9841856540133994
cam4,32bits,115718790,39,0.42636634033245596,0.9842986132811238
cam4,32bits,115718790,40,0.42931500579983595,0.9855351201132951
cam4,32bits,115718790,41,0.4288944345166416,0.9853618883206527
cam4,32bits,115718790,42,0.42445512954292036,0.9834697686579379
cam4,32bits,115718790,43,0.42710249562754676,0.9846121162541733
cam4,32bits,115718790,44,0.4215899768741101,0.9821868059527759
cam4,32bits,115718790,45,0.425372404948237,0.9838702587501217
cam4,32bits,115718790,46,0.42460016216899604,0.9835334217543186
cam4,32bits,115718790,47,0.42227664150307825,0.9824987034706443
cam4,32bits,115718790,48,0.40975466473508754,0.9763714659111324
